State,state_pop,city_count,state_cvs_count,state_under_count,City,city_pop,city_cvs_count,city_under_count
Arizona,7278717,48,197,21.0,Casa Grande,58632,1,1.0
Arizona,7278717,48,197,21.0,Maricopa,52127,1,1.0
Tennessee,6829174,78,161,44.0,Nashville,670820,13,7.0
Tennessee,6829174,78,161,44.0,Memphis,651073,9,11.0
Tennessee,6829174,78,161,44.0,Murfreesboro,146900,4,0.0
Tennessee,6829174,78,161,44.0,Jackson,67191,2,0.0
Tennessee,6829174,78,161,44.0,Bartlett,59440,1,1.0
Wisconsin,5822434,47,82,93.0,Milwaukee,590157,8,10.0
Wisconsin,5822434,47,82,93.0,Madison,259680,5,3.0
Wisconsin,5822434,47,82,93.0,Racine,76760,2,0.0
Wisconsin,5822434,47,82,93.0,Eau Claire,68802,2,0.0
Wisconsin,5822434,47,82,93.0,Oshkosh,67004,2,0.0
Colorado,5758736,29,51,122.0,Denver,727211,7,15.0
Colorado,5758736,29,51,122.0,Colorado Springs,478221,6,8.0
Colorado,5758736,29,51,122.0,Aurora,379289,5,6.0
Colorado,5758736,29,51,122.0,Fort Collins,170243,2,3.0
Colorado,5758736,29,51,122.0,Lakewood,157935,2,3.0
Colorado,5758736,29,51,122.0,Thornton,141464,1,3.0
Colorado,5758736,29,51,122.0,Arvada,121272,1,3.0
Colorado,5758736,29,51,122.0,Westminster,113166,2,1.0
Colorado,5758736,29,51,122.0,Pueblo,112361,1,2.0
Colorado,5758736,29,51,122.0,Greeley,108649,1,2.0
Colorado,5758736,29,51,122.0,Boulder,105673,1,2.0
Colorado,5758736,29,51,122.0,Longmont,97261,1,2.0
Colorado,5758736,29,51,122.0,Loveland,78877,1,1.0
Colorado,5758736,29,51,122.0,Grand Junction,63597,1,1.0
Minnesota,5639632,78,133,36.0,Minneapolis,429606,11,2.0
Minnesota,5639632,78,133,36.0,Rochester,118935,2,2.0
Minnesota,5639632,78,133,36.0,Bloomington,84943,2,1.0
Minnesota,5639632,78,133,36.0,Brooklyn Park,80389,2,0.0
Minnesota,5639632,78,133,36.0,Maple Grove,72622,2,0.0
Kentucky,4467673,45,81,53.0,Lexington,323152,5,5.0
Oregon,4217737,14,22,105.0,Portland,654741,8,12.0
Oregon,4217737,14,22,105.0,Salem,174365,1,4.0
Oregon,4217737,14,22,105.0,Eugene,172622,1,4.0
Oregon,4217737,14,22,105.0,Hillsboro,109128,1,2.0
Oregon,4217737,14,22,105.0,Beaverton,99037,2,1.0
Oregon,4217737,14,22,105.0,Medford,83072,1,1.0
Oregon,4217737,14,22,105.0,Springfield,63230,1,1.0
Oregon,4217737,14,22,105.0,Tigard,55514,1,1.0
Oregon,4217737,14,22,105.0,Albany,55338,1,1.0
Oklahoma,3956971,28,78,41.0,Stillwater,50299,1,1.0
Oklahoma,3956971,28,78,41.0,Enid,49688,1,0.0
Utah,3205958,17,29,67.0,Provo,116618,1,2.0
Utah,3205958,17,29,67.0,West Jordan,116480,3,0.0
Utah,3205958,17,29,67.0,Orem,97828,1,2.0
Utah,3205958,17,29,67.0,Ogden,87773,1,2.0
Utah,3205958,17,29,67.0,Layton,78014,2,0.0
Utah,3205958,17,29,67.0,South Jordan,76598,2,0.0
Utah,3205958,17,29,67.0,Herriman,51348,1,1.0
Iowa,3155070,19,39,56.0,Des Moines,214237,4,2.0
Iowa,3155070,19,39,56.0,Davenport,101590,3,0.0
Iowa,3155070,19,39,56.0,West Des Moines,67899,2,0.0
Iowa,3155070,19,39,56.0,Ankeny,67355,2,0.0
Iowa,3155070,19,39,56.0,Dubuque,57882,1,1.0
Arkansas,3017804,16,23,68.0,Little Rock,197312,3,3.0
Arkansas,3017804,16,23,68.0,Fort Smith,87891,1,2.0
Arkansas,3017804,16,23,68.0,Fayetteville,87590,2,1.0
Arkansas,3017804,16,23,68.0,Springdale,81125,1,1.0
Arkansas,3017804,16,23,68.0,Jonesboro,78394,2,0.0
Arkansas,3017804,16,23,68.0,Rogers,68669,2,0.0
Arkansas,3017804,16,23,68.0,Conway,67638,2,0.0
Arkansas,3017804,16,23,68.0,North Little Rock,65903,1,1.0
Kansas,2913314,20,54,33.0,Wichita,389938,7,5.0
