state,state_pop,city_count,cvs_count_state,under_state,under_count_state,city,city_pop,cvs_count_city,under_city,under_count_city
California,39512223,398,1175,True,10.0,Thousand Oaks,126813.0,5.0,False,-1.0
California,39512223,398,1175,True,10.0,Escondido,151625.0,6.0,False,-1.0
California,39512223,398,1175,True,10.0,Santa Clara,130365.0,4.0,False,0.0
California,39512223,398,1175,True,10.0,Visalia,134605.0,5.0,False,-1.0
California,39512223,398,1175,True,10.0,Fairfield,117133.0,4.0,False,0.0
California,39512223,398,1175,True,10.0,Compton,95605.0,3.0,False,0.0
California,39512223,398,1175,True,10.0,Santa Maria,107263.0,5.0,False,-2.0
California,39512223,398,1175,True,10.0,South Gate,93444.0,3.0,False,0.0
California,39512223,398,1175,True,10.0,Chino,94371.0,3.0,False,0.0
California,39512223,398,1175,True,10.0,Mission Viejo,94381.0,7.0,False,-4.0
California,39512223,398,1175,True,10.0,Tracy,94740.0,3.0,False,0.0
California,39512223,398,1175,True,10.0,Menifee,94756.0,3.0,False,0.0
California,39512223,398,1175,True,10.0,Fullerton,138632.0,6.0,False,-2.0
California,39512223,398,1175,True,10.0,Hesperia,95750.0,2.0,True,1.0
California,39512223,398,1175,True,10.0,San Marcos,96664.0,5.0,False,-2.0
California,39512223,398,1175,True,10.0,Vacaville,100670.0,3.0,True,0.0
California,39512223,398,1175,True,10.0,Vista,101638.0,6.0,False,-3.0
California,39512223,398,1175,True,10.0,El Cajon,102708.0,7.0,False,-4.0
California,39512223,398,1175,True,10.0,Pomona,151691.0,4.0,True,1.0
California,39512223,398,1175,True,10.0,Richmond,110567.0,2.0,True,1.0
California,39512223,398,1175,True,10.0,Palmdale,155079.0,4.0,True,1.0
California,39512223,398,1175,True,10.0,Hawthorne,86068.0,4.0,False,-1.0
California,39512223,398,1175,True,10.0,Lake Forest,85531.0,4.0,False,-1.0
California,39512223,398,1175,True,10.0,Whittier,85098.0,5.0,False,-2.0
California,39512223,398,1175,True,10.0,Newport Beach,84534.0,2.0,True,1.0
California,39512223,398,1175,True,10.0,Milpitas,84196.0,1.0,True,2.0
California,39512223,398,1175,True,10.0,Chino Hills,83853.0,2.0,True,1.0
California,39512223,398,1175,True,10.0,Alhambra,83750.0,4.0,False,-1.0
California,39512223,398,1175,True,10.0,Merced,83676.0,2.0,True,1.0
California,39512223,398,1175,True,10.0,Manteca,83028.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Mountain View,82739.0,5.0,False,-3.0
California,39512223,398,1175,True,10.0,Buena Park,81788.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Pleasanton,81777.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Folsom,81328.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Laguna Niguel,66385.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Corona,169868.0,5.0,True,0.0
California,39512223,398,1175,True,10.0,Tulare,65496.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Arcadia,57939.0,2.0,False,0.0
California,39512223,398,1175,True,10.0,Huntington Park,57509.0,2.0,False,0.0
California,39512223,398,1175,True,10.0,Diamond Bar,55720.0,2.0,False,0.0
California,39512223,398,1175,True,10.0,Novato,55516.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Highland,55417.0,2.0,False,0.0
California,39512223,398,1175,True,10.0,Citrus Heights,87796.0,1.0,True,2.0
California,39512223,398,1175,True,10.0,San Leandro,88815.0,4.0,False,-1.0
California,39512223,398,1175,True,10.0,Livermore,90189.0,3.0,False,0.0
California,39512223,398,1175,True,10.0,Santa Monica,90401.0,4.0,False,-1.0
California,39512223,398,1175,True,10.0,Madera,65860.0,2.0,False,0.0
California,39512223,398,1175,True,10.0,San Ramon,75995.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Baldwin Park,75251.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Rancho Cordova,75087.0,2.0,True,0.0
California,39512223,398,1175,True,10.0,Turlock,73631.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Pittsburg,72588.0,2.0,True,0.0
California,39512223,398,1175,True,10.0,Redlands,71513.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Walnut Creek,70166.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Westminster,90643.0,3.0,False,0.0
California,39512223,398,1175,True,10.0,Camarillo,69888.0,5.0,False,-3.0
California,39512223,398,1175,True,10.0,Fountain Valley,55357.0,1.0,True,1.0
California,39512223,398,1175,True,10.0,Lynwood,69887.0,1.0,True,1.0
California,39512223,398,1175,True,10.0,Lake Elsinore,69283.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Rocklin,68823.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Yorba Linda,67644.0,2.0,True,0.0
California,39512223,398,1175,True,10.0,Lodi,67586.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Sunnyvale,152703.0,4.0,True,1.0
California,39512223,398,1175,True,10.0,Napa,78130.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Alameda,77624.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Hemet,85334.0,5.0,False,-2.0
California,39512223,398,1175,True,10.0,Lakewood,79307.0,5.0,False,-3.0
California,39512223,398,1175,True,10.0,Tustin,79348.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Davis,69413.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,Colton,54824.0,1.0,True,1.0
California,39512223,398,1175,True,10.0,Redondo Beach,66749.0,4.0,False,-2.0
California,39512223,398,1175,True,10.0,Paramount,53955.0,1.0,True,1.0
California,39512223,398,1175,True,10.0,Petaluma,60520.0,3.0,False,-1.0
California,39512223,398,1175,True,10.0,La Habra,60513.0,4.0,False,-2.0
